mentionId,source,line,part,chapter,scene,timestampStart,timestampEnd,speaker,text,matches,mentionKind,emotionalTone,narrativeFunction,characterReactions,contextBefore,contextAfter
OSR-020,OSIRIS_CINEMATIC_TIMELINE.md,174,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,0:24,0:28,OSIRIS,"المحور الرابع: الفرقة — تدمير مفهوم ""نحن"" واستبداله بـ ""أنا ضد الجميع"".",OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:20–0:24] L5 OSIRIS: المحور الثالث: الكذب — تشويه الحقائق حتى يصبح الباطل منطقياً.,- [0:28–0:32] L7 OSIRIS: المحور الخامس: اليأس — قطع الاتصال بالخالق عبر القنوط.
OSR-021,OSIRIS_CINEMATIC_TIMELINE.md,175,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,0:28,0:32,OSIRIS,المحور الخامس: اليأس — قطع الاتصال بالخالق عبر القنوط.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,"- [0:24–0:28] L6 OSIRIS: المحور الرابع: الفرقة — تدمير مفهوم ""نحن"" واستبداله بـ ""أنا ضد الجميع"".",- [0:32–0:36] L8 OSIRIS: المحور السادس: الشبهة — التشكيك المستمر في الثوابت.
OSR-022,OSIRIS_CINEMATIC_TIMELINE.md,176,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,0:32,0:36,OSIRIS,المحور السادس: الشبهة — التشكيك المستمر في الثوابت.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:28–0:32] L7 OSIRIS: المحور الخامس: اليأس — قطع الاتصال بالخالق عبر القنوط.,- [0:36–0:44] L9 Laila: هذه ليست مجرد خطة شيطانية قديمة. هذه هي بالضبط الطريقة التي تعمل بها خوارزميات وسائل التواصل الاجتماعي اليوم! تعزيز النر
OSR-023,OSIRIS_CINEMATIC_TIMELINE.md,188,four-4-1-desert — فراغ الصحراء (The Void of the Desert),,,0:01,0:08,Narrator,صحراء سيناء. القرن الثالث عشر قبل الميلاد. محاكاة أوزيريس. وقف يحيى وليلى وسط المحاكاة، يشاهدان بحر البشر الممتد في الصح,أوزيريس,narration,neutral,world_building/theme,Contextual reaction implied; see adjacent lines.,,  - Beats: scanline_pulse
OSR-024,OSIRIS_CINEMATIC_TIMELINE.md,231,four-5-2-analyst-tears — دموع المحلل (The Tears of the Analyst),,,0:01,0:05,Narrator,انتهى التسجيل. ساد صمت ثقيل في الغرفة، لم يقطعه سوى طنين خوادم أوزيريس.,أوزيريس,narration,tragic/somber,world_building/theme,Contextual reaction implied; see adjacent lines.,,  - Beats: scanline_pulse
OSR-025,OSIRIS_CINEMATIC_TIMELINE.md,236,four-5-2-analyst-tears — دموع المحلل (The Tears of the Analyst),,,0:18,0:23,Laila,البكاء لن يعيد طارق. ولن يوقف المهندس الأول. أنت تملك أوزيريس الآن. تملك الشيفرة المصدرية.,أوزيريس,dialogue_or_quote,resolute/empowering,plot_progression/turning_point,Laila insists power is now in Yahya’s hands; mission becomes explicit.,- [0:13–0:18] L3 Yahya: طارق كان موسى عصره. حاول تحطيم العجل الرقمي... فقتلوه.,  - Beats: scanline_pulse
OSR-026,OSIRIS_CINEMATIC_TIMELINE.md,238,four-5-2-analyst-tears — دموع المحلل (The Tears of the Analyst),,,0:23,0:27,Yahya,سأدمرهم. سأستخدم أوزيريس لاختراق خوادمهم وفضح كل شيء.,أوزيريس,dialogue_or_quote,defiant/combative,plot_progression/goal_statement,Yahya pivots from grief to attack; declares intent to use OSIRIS offensively.,  - Beats: scanline_pulse,  - Beats: scanline_pulse
OSR-027,OSIRIS_CINEMATIC_TIMELINE.md,249,"five-6a-1-nicaea-debate — قبل المجمع: لاهوت معقد، لا نوايا سيئة (Before the Council: Complex Theology, No Evil Intent)",,,0:01,0:08,Narrator,روما / الإسكندرية. قبل شهر من مجمع نيقية 325م. محاكاة أوزيريس. برمج يحيى أوزيريس للعودة إلى عام 325 ميلادية. لم تظهر الم,أوزيريس|أوزيريس,narration,neutral,world_building/theme,Contextual reaction implied; see adjacent lines.,,  - Beats: scanline_pulse
OSR-028,OSIRIS_CINEMATIC_TIMELINE.md,308,six-8-1-andalusia — الأندلس الضائعة — خيانة الإخوة (The Lost Andalusia — Betrayal of Brothers),,,0:01,0:07,Narrator,نقل أوزيريس يحيى وليلى إلى ذروة الحضارة الأندلسية. شوارع قرطبة المضاءة، المكتبات الضخمة، والجامعات التي سبقت أوروبا بقرو,أوزيريس,narration,neutral,world_building/theme,Contextual reaction implied; see adjacent lines.,,"  - Beats: red_flash, scanline_pulse"
OSR-029,OSIRIS_CINEMATIC_TIMELINE.md,313,six-8-1-andalusia — الأندلس الضائعة — خيانة الإخوة (The Lost Andalusia — Betrayal of Brothers),,,0:16,0:23,Narrator,عرض أوزيريس سلسلة من المشاهد السريعة: أمير إشبيلية يتحالف مع ملك قشتالة ضد أمير بطليوس. أمير طليطلة يدفع الجزية للعدو لي,أوزيريس,narration,neutral,world_building/theme,Contextual reaction implied; see adjacent lines.,  - Beats: subtle_code_overlay,  - Beats: scanline_pulse
OSR-030,OSIRIS_CINEMATIC_TIMELINE.md,329,six-8-2-last-tears — دموع لا تنفع (Tears That Do Not Help),,,0:20,0:25,OSIRIS,"لا يمكنك إصلاح نظام مصاب بفيروس ""أنا خير منهم"" باستخدام نفس الفيروس.",OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,  - Beats: subtle_code_overlay,
OSR-031,OSIRIS_CINEMATIC_TIMELINE.md,337,six-8b-1-berlin — وهم العرق الأسمى (The Illusion of the Supreme Race),,,0:01,0:05,Narrator,تسارعت المحاكاة. قفز أوزيريس قروناً إلى الأمام. برلين، 1933.,أوزيريس,narration,neutral,world_building/theme,Contextual reaction implied; see adjacent lines.,,  - Beats: scanline_pulse
OSR-032,OSIRIS_CINEMATIC_TIMELINE.md,355,six-8c-1-death-signatures — التوقيع على الموت (Signing Death Orders),,,0:19,0:24,OSIRIS,"النظارة تعني التعليم. التعليم يعني القدرة على التفكير المستقل. التفكير المستقل تهديد لـ ""النقاء الثوري"".",OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:17–0:19] L4 Laila: لماذا؟!,"- [0:24–0:31] L6 Yahya: ثلاثة رجال. ثلاث أيديولوجيات مختلفة تماماً: فاشية، شيوعية، وماوية. لكن جملة واحدة تجمعهم: ""أنا وحدي أعرف الحقيقة"". إنها "
OSR-033,OSIRIS_CINEMATIC_TIMELINE.md,366,six-8d-1-attack — اختراق المخبأ (Breaching the Hideout),,,0:05,0:08,OSIRIS,تحذير: اختراق أمني للموقع الفيزيائي.,OSIRIS,dialogue_or_quote,urgent/ominous,plot_disruption/stakes,Immediate threat interrupts the simulation; forces escape behavior.,- [0:00–0:05] L1 Narrator: فجأة، انقطعت المحاكاة. اهتز المخبأ السري بعنف، وتناثر الغبار من السقف.,"  - Beats: alarm_pulse, ui_red_flash, micro_shake"
OSR-034,OSIRIS_CINEMATIC_TIMELINE.md,415,transition-dream — الحلم قبل المعركة (The Dream Before the Battle),,,1:00,1:04,Yahya,نعم. شغلي أوزيريس يا ليلى. حان وقت المواجهة.,أوزيريس,dialogue_or_quote,defiant/combative,plot_progression/turning_point,Contextual reaction implied; see adjacent lines.,- [0:58–1:00] L12 Laila: لقد عدت.,  - Beats: scanline_pulse
OSR-035,OSIRIS_CINEMATIC_TIMELINE.md,424,seven-10-1-karbala — الحق الأعزل (The Unarmed Truth),,,0:01,0:07,Narrator,صحراء كربلاء. 680م. محاكاة أوزيريس. شغّل يحيى أوزيريس للمرة الأخيرة. لم تكن هذه تمريناً أكاديمياً. كانت مفتاح فهم كيفية,أوزيريس|أوزيريس,narration,neutral,plot_progression/turning_point,Contextual reaction implied; see adjacent lines.,,"  - Beats: scanline_pulse, subtle_code_overlay"
OSR-036,OSIRIS_CINEMATIC_TIMELINE.md,429,seven-10-1-karbala — الحق الأعزل (The Unarmed Truth),,,0:20,0:27,Yahya,تحليلات أوزيريس: الاحتمالات العسكرية للنجاة: 0%. النتيجة الحتمية: الموت. لماذا لم يستسلم؟ كان يمكنه منع سفك الدماء. كان,أوزيريس,dialogue_or_quote,analytical/clinical,character_development/theme,Contextual reaction implied; see adjacent lines.,"  - Beats: red_flash, subtle_code_overlay",  - Beats: scanline_pulse
OSR-037,OSIRIS_CINEMATIC_TIMELINE.md,484,seven-12-1-truth-leak — حجر رشيد الرقمي — تسريب الحقيقة (The Rosetta Stone of the Digital Age),,,0:01,0:08,Narrator,"بمجرد أن ضغط يحيى على الزر، بدأ أوزيريس في تفريغ ""الشيفرة المصدرية"" للفيروس (حجر رشيد الرقمي) إلى كل خادم، كل هاتف، وكل",أوزيريس,narration,triumphant/painful,climax/resolution,Truth leak begins; irreversible broadcast aligns with narrative payoff.,,  - Beats: scanline_pulse
OSR-038,OSIRIS_CINEMATIC_TIMELINE.md,522,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:07,0:10,OSIRIS,الدفاع قدم شهوده.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,  - Beats: red_flash,- [0:10–0:15] L3 OSIRIS: من إبراهيم الذي وقف وحيداً ضد حضارة بأكملها، إلى الحسين الذي اختار الموت على المذلة.
OSR-039,OSIRIS_CINEMATIC_TIMELINE.md,523,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:10,0:15,OSIRIS,من إبراهيم الذي وقف وحيداً ضد حضارة بأكملها، إلى الحسين الذي اختار الموت على المذلة.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:07–0:10] L2 OSIRIS: الدفاع قدم شهوده.,- [0:15–0:20] L4 OSIRIS: ومن طارق الذي رفض الصمت، إلى يحيى الذي كسر الخوارزمية بدمه.
OSR-040,OSIRIS_CINEMATIC_TIMELINE.md,524,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:15,0:20,OSIRIS,ومن طارق الذي رفض الصمت، إلى يحيى الذي كسر الخوارزمية بدمه.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:10–0:15] L3 OSIRIS: من إبراهيم الذي وقف وحيداً ضد حضارة بأكملها، إلى الحسين الذي اختار الموت على المذلة.,  - Beats: subtle_code_overlay
OSR-041,OSIRIS_CINEMATIC_TIMELINE.md,526,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:20,0:24,OSIRIS,وليلى... التي تحمل الحقيقة الآن.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,  - Beats: subtle_code_overlay,- [0:24–0:28] L6 OSIRIS: الإرادة الحرة تنزف، لكنها لا تموت.
OSR-042,OSIRIS_CINEMATIC_TIMELINE.md,527,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:24,0:28,OSIRIS,الإرادة الحرة تنزف، لكنها لا تموت.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:20–0:24] L5 OSIRIS: وليلى... التي تحمل الحقيقة الآن.,- [0:28–0:32] L7 OSIRIS: الخوارزمية لم تُهزم تماماً، لكنها فُضحت.
OSR-043,OSIRIS_CINEMATIC_TIMELINE.md,528,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:28,0:32,OSIRIS,الخوارزمية لم تُهزم تماماً، لكنها فُضحت.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:24–0:28] L6 OSIRIS: الإرادة الحرة تنزف، لكنها لا تموت.,  - Beats: subtle_code_overlay
OSR-044,OSIRIS_CINEMATIC_TIMELINE.md,530,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:32,0:36,OSIRIS,الملف رقم واحد... يُغلق مؤقتاً.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,  - Beats: subtle_code_overlay,- [0:36–0:41] L9 Narrator: تلاشت الكلمات، وظهرت جملة أخيرة في منتصف الشاشة، موجهة للقارئ مباشرة:
OSR-045,OSIRIS_CINEMATIC_TIMELINE.md,533,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:41,0:46,OSIRIS,القضية مستمرة... والخيار الآن لك.,OSIRIS,dialogue_or_quote,ominous/prophetic,meta_address/foreshadowing,Direct address to the reader; story reopens as a choice.,"  - Beats: white_flash, glitch_burst, ui_focus, red_flash",
OSR-046,OSIRIS.md,1,OSIRIS,,,,,,# **OSIRIS**,OSIRIS,title,neutral,world_building/theme,Contextual reaction implied; see adjacent lines.,,
OSR-047,OSIRIS.md,27,الجزء الصفر: غرفة المحاكمة الكونية,الفصل الأول: الملف رقم واحد,المشهد 1.1: الاستدعاء,,,,"""الشر ليس عشوائياً يا يحيى. إنه كود برمجي. لقد وجدت الشيفرة المصدرية. افتح أوزيريس.""  ",أوزيريس,system_action,urgent/ominous,plot_catalyst,Yahya shocked; pulse stops; drops the call; commits to opening OSIRIS.,فتح الرسالة. لم تكن نصاً، بل سلسلة من الأرقام العشوائية، وفي الأسفل جملة واحدة:  ,\[Interactive Element\]  
OSR-048,OSIRIS.md,37,الجزء الصفر: غرفة المحاكمة الكونية,الفصل الأول: الملف رقم واحد,المشهد 1.2: المرافعة الافتتاحية,,,,"الموقع: واجهة نظام ""أوزيريس"" (فضاء رقمي خارج الزمن)  ",أوزيريس,location,awe/ominous,world_building/staging,Yahya enters an uncanny digital courtroom; scale and dread reset expectations.,,الشخصيات: يحيى، الكيان المجهول (إبليس/الخوارزمية)  
OSR-049,OSIRIS.md,83,الجزء الأول: الجريمة الأولى (الشيفرة المصدرية),الفصل 1.5: الشاهد الصامت (قصة طارق الكاملة),المشهد 1.5.1: الوعد الكاذب,,,,كان طارق يقلب ملعقة القهوة بعصبية، عينيه تلمعان بحماس شاب يوشك أن يغير العالم. أمامه جلس الرجل الذي قدم نفسه كمدير تنفيذي لمشروع بحثي سري. لم يستطع يحيى \- الذي كان يشاهد هذه الذاكرة عبر أوزيريس \- أن يحدد ملامح الرجل. كلما حاول التركيز على وجهه، تشوشت الصورة.  ,أوزيريس,narration,neutral,world_building/theme,Contextual reaction implied; see adjacent lines.,\[النص السردي والحواري\]  ,"""نحن لا نبحث عن مجرد مبرمج يا طارق،"" قال المهندس الأول بصوته الهادئ والموزون. ""نحن نبحث عن فيلسوف يكتب الكود. العالم يعاني من الفوضى، الكراهية، الاستقطاب. ماذا لو استطعنا تصميم خوارزمية تفهم الألم البشري... وتعالجه؟""  "
OSR-050,OSIRIS.md,105,الجزء الأول: الجريمة الأولى (الشيفرة المصدرية),الفصل 1.5: الشاهد الصامت (قصة طارق الكاملة),المشهد 1.5.2: الحقيقة المرة,,,,"فتح طارق ملفاً سرياً يحمل اسم ""مشروع أوزيريس"". قرأ بصوت مسموع، وكأنه يكلم نفسه: ""الهدف: الهندسة العصبية. التحكم بأنماط التفكير البشري من خلال التلاعب بترددات الدوبامين والكورتيزول. زرع أفكار محددة دون وعي المستخدم.""  ",أوزيريس,dialogue_or_quote,ominous/terrifying,plot_reveal/foreshadowing,"Tarek trembles; realization lands that OSIRIS is neuro-engineering, not “better apps”.","""يا إلهي..."" همس طارق، ويداه ترتجفان فوق لوحة المفاتيح. ""هذا ليس لتحسين التطبيقات. هذا... هذا تعديل سلوكي.""  ",أدرك طارق الحقيقة المرعبة. هو لم يكن يبني أداة لفهم البشر، بل كان يبني سجناً رقمياً لعقولهم. الخوارزمية التي كتبها كانت تُستخدم لتعزيز النرجسية، لتقسيم الناس، لجعلهم يكرهون بعضهم البعض... لأن الكراهية تُبقي العيون ملتصقة بالشاشات.
OSR-051,OSIRIS.md,165,الجزء الأول: الجريمة الأولى (الشيفرة المصدرية),الفصل 2: البوصلة الروحية,المشهد 2.2: تشغيل أوزيريس,,,,### **المشهد 2.2: تشغيل أوزيريس**,أوزيريس,title,neutral,plot_progression/turning_point,Contextual reaction implied; see adjacent lines.,,
OSR-052,OSIRIS.md,168,الجزء الأول: الجريمة الأولى (الشيفرة المصدرية),الفصل 2: البوصلة الروحية,المشهد 2.2: تشغيل أوزيريس,,,,الشخصيات: يحيى، ليلى، نظام أوزيريس  ,أوزيريس,narration,awe/ominous,world_building/theme,Contextual reaction implied; see adjacent lines.,الموقع: المخبأ السري  ,الحالة النفسية/الجو العام: ترقب علمي، رهبة من المجهول.  
